Model,Feature_Type,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Combined,0.7229985035406548,0.03788724773995349,0.17020385372541594,0.04332178168275859,0.0921423710192005,0.009502646408034887
CatBoost,Full Codes,0.711562898082545,0.04181608132936247,0.16691170148776058,0.04753291735991773,0.0924818177111853,0.009751466187709503
CatBoost,Groups,0.6894708738790726,0.045439025632849316,0.16115980046694808,0.04884600854668938,0.09215962222447444,0.009516564375961259
RandomForest,Combined,0.7040211970831523,0.05748792636958116,0.18042959286940438,0.05850136006751023,0.0921423710192005,0.009502646408034887
RandomForest,Full Codes,0.7160266086408132,0.045502926747111996,0.18763579405406028,0.06627577430138892,0.0921423710192005,0.009502646408034887
RandomForest,Groups,0.6921370618949845,0.06667355946394113,0.16736856216514118,0.05904799079695124,0.0921423710192005,0.009502646408034887
XGBoost,Combined,0.6854150183274262,0.0552503047821483,0.15947516900090775,0.06426487524749008,0.09226716310247146,0.00958436161989919
XGBoost,Full Codes,0.680031692973254,0.04759890509698173,0.14685001965928285,0.03879414686211003,0.09218205355888304,0.009419428487282827
XGBoost,Groups,0.6755285381392374,0.04673030747545813,0.14433982989672572,0.04202389108572097,0.09238211078909833,0.00953364722331897
