Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,CatBoost,Groups,3,0.005,0.7112160202720413,0.7236832962757087,0.189109756304254,0.09833187006145742
mimic_cohort_NF_30_days,CatBoost,Groups,4,0.005,0.7031532783264218,0.6751700680272108,0.17127846626357124,0.09057301293900184
mimic_cohort_NF_30_days,XGBoost,Combined,0,0.005,0.7144358402925065,0.6550301734015735,0.12800026569136852,0.09751609935602576
mimic_cohort_NF_30_days,XGBoost,Combined,1,0.0,0.7474842919724128,0.6071611144244697,0.07665054675202307,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Combined,2,0.001,0.6964343001949759,0.7477909381462681,0.2462509211425593,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Combined,3,0.0,0.6959215909183835,0.7186110339077266,0.15373706901714057,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Combined,4,0.0,0.6799873170592677,0.6984818317570931,0.19273704240144723,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Combined,0,0.001,0.7424730785395178,0.6643400045833016,0.13374838578230444,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Combined,1,0.005,0.7430478764278856,0.6602304677515548,0.11093255387502371,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Combined,2,0.005,0.7120430942765766,0.7671178793006204,0.25501016901456713,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Combined,3,0.001,0.7159071476269879,0.766832267926626,0.1899763705881332,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Combined,4,0.0,0.7124267880808858,0.6615853658536585,0.2124804850869934,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Combined,0,0.0,0.7341128612433052,0.7377014742953174,0.14825672610857824,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Combined,1,0.001,0.7553127042402852,0.6565455397461021,0.10983756082510977,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Combined,2,0.001,0.7272437167525506,0.7521714608009025,0.20253469327674317,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Combined,3,0.001,0.7351997440368049,0.7356430655919955,0.17188281959854743,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Combined,4,0.0,0.7271938637367649,0.7329309772689564,0.218507468818101,0.09057301293900184
