Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,RandomForest,Groups,4,0.01,0.8085438714657017,0.7001222845633721,0.3729684544911465,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Groups,0,0.01,0.8026747341365814,0.8284686971235194,0.5766012718498835,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Groups,1,0.005,0.8165089098932515,0.7671109072760136,0.4610714886915909,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Groups,2,0.005,0.8097781104521521,0.8147134822921418,0.5805307469865691,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Groups,3,0.001,0.8046589289034897,0.8039309792302809,0.5677334462613077,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Groups,4,0.001,0.8187069554561476,0.7043590850237377,0.3647214532687341,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Combined,0,0.0,0.82981329910787,0.8497884940778341,0.6239124170269778,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Combined,1,0.0,0.8335392802900641,0.8037169180133272,0.5372095555840968,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Combined,2,0.0,0.830762551665645,0.8378272104257949,0.6139795359876119,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Combined,3,0.01,0.8262212287443956,0.8164812407413007,0.611653935722475,0.36329588014981273
mimic_cohort_aplasia_45_days,XGBoost,Combined,4,0.005,0.8345271540451363,0.7328190188462091,0.41345727579257163,0.3873957367933272
mimic_cohort_aplasia_45_days,RandomForest,Combined,0,0.005,0.8120627914609059,0.835307388606881,0.6146744129130846,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Combined,1,0.01,0.818076231956427,0.801325977284377,0.523170286675328,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Combined,2,0.01,0.8166328978316733,0.8131901901306529,0.5753545837819174,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Combined,3,0.005,0.814488031777516,0.8001934879221212,0.5902254796516653,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Combined,4,0.005,0.8182997368963122,0.7299741044454036,0.42413344311686085,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Combined,0,0.005,0.8267791244532593,0.8539128595600677,0.6372094707639773,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Combined,1,0.001,0.8321339744311441,0.8045701027868456,0.5222763068107675,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Combined,2,0.001,0.82571146696219,0.8323849930939684,0.6131106599539976,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Combined,3,0.001,0.8258370524184384,0.8119841581763764,0.5843182433464054,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Combined,4,0.005,0.8332612574395445,0.7420299237519781,0.4134928155711132,0.38817005545286504
