Model,Feature_Type,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Combined,0.748340477855247,0.023554511034468005,0.18177452186903986,0.04217915991889103,0.09252950215219062,0.009874378537483677
CatBoost,Full Codes,0.7485453099609816,0.04293142544072115,0.16986377011204223,0.04590821232249951,0.0921423710192005,0.009502646408034887
CatBoost,Groups,0.7214797300481449,0.0519099403237463,0.17954921863286624,0.057889295902683144,0.0921423710192005,0.009502646408034887
RandomForest,Combined,0.7534203024798684,0.03928338205621052,0.17393407670442546,0.04977350750710201,0.0921423710192005,0.009502646408034887
RandomForest,Full Codes,0.7517315590886879,0.03540994269646892,0.1839252457665071,0.06807186475550021,0.0921423710192005,0.009502646408034887
RandomForest,Groups,0.7289599092616869,0.046053057532304036,0.16347133106388015,0.04960462463706712,0.0921423710192005,0.009502646408034887
XGBoost,Combined,0.7265810457713177,0.03794839889683954,0.16988687047856443,0.05882433258772975,0.09223134451684942,0.009560145335444432
XGBoost,Full Codes,0.7142066427221243,0.044182901709414975,0.1661179523948052,0.0561840313481304,0.09270749920492576,0.009930141358833864
XGBoost,Groups,0.692238015998004,0.023040473762372737,0.15401826496907006,0.03686130644656704,0.0921423710192005,0.009502646408034887
