Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_1Layer,Kane,10,0.633579165976476,0.020645693366700697,0.3284691522085317,0.04675023621024843,0.36420962970209053,0.013956319169812511
MLP_1Layer,Kane,50,0.717442556919875,0.03256473785629112,0.4009855803594601,0.046247712275600615,0.3643346327962265,0.013855743907475385
MLP_1Layer,Kane,100,0.7176300099712922,0.023314415511134556,0.40037019565561993,0.03327585675962076,0.36420962970209053,0.013956319169812511
MLP_1Layer,Kane,1000,0.736623469850513,0.033219275856950746,0.4466211605386152,0.05045694503490021,0.36420962970209053,0.013956319169812511
