Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_1Layer,Kane,10,0.5912310342004816,0.05110126833971834,0.10450721062054699,0.06088273154225355,0.0921423710192005,0.009502646408034887
MLP_1Layer,Kane,50,0.6567702995838519,0.030273134597019188,0.12053266850264506,0.04845888548705958,0.09221271709124088,0.009537461188303155
MLP_1Layer,Kane,100,0.6404217321350203,0.03868348700651489,0.10677198947110071,0.03294509470128525,0.0921423710192005,0.009502646408034887
MLP_1Layer,Kane,1000,0.6282934062550625,0.01954904466595587,0.10338461495207707,0.030222781726286143,0.0922114082055335,0.009518354220479197
