Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_2Layer,Node2Vec,10,0.662989728622627,0.034160022886310516,0.08771760434267697,0.016200205804220606,0.0921423710192005,0.009502646408034887
MLP_2Layer,Node2Vec,50,0.6770301215895843,0.06494181972698967,0.1263862594346154,0.04462348492195363,0.09223221036992293,0.00958114296047685
MLP_2Layer,Node2Vec,100,0.6832451086867268,0.04171202257749527,0.13971694900920956,0.03699503192816245,0.09216046820106712,0.00951859323983152
MLP_2Layer,Node2Vec,1000,0.7060319809241097,0.04256442382670418,0.15566457535123462,0.0482594428399242,0.09217690374821107,0.009530642968650447
