train_loss,val_loss,Fold,Dimension,Epoch
1.3205091318891422,1.32759485985827,0,10,1
1.3087824836556647,1.3115806189770436,0,10,2
1.2759272201618537,1.3023233537767842,0,10,3
1.270300868860657,1.2924462032049853,0,10,4
1.2654074804644593,1.2847909516590725,0,10,5
1.2618340430234565,1.2798737797220716,0,10,6
1.2762959431680099,1.2739788746532006,0,10,7
1.2685887871391954,1.2728075172160078,0,10,8
1.2369540765960103,1.2681846299251927,0,10,9
1.253778973866012,1.2592473052725006,0,10,10
1.2715744722497064,1.2535994165222017,0,10,11
1.2385217723611788,1.2478275927813245,0,10,12
1.2547865218982126,1.247016554475669,0,10,13
1.2524567381149856,1.2467305590667135,0,10,14
1.2335369284416964,1.2422630693003767,0,10,15
1.2492053643680834,1.2422815008002495,0,10,16
1.2602562989836628,1.2448138333909455,0,10,17
1.2190535600658878,1.2433173046165713,0,10,18
1.2324557145157262,1.2400618234934855,0,10,19
1.2333839155039594,1.2392343685093812,0,10,20
1.2504345919000663,1.2399504485680248,0,10,21
1.226053199030603,1.2384843859826797,0,10,22
1.2359794013320038,1.2374363899566285,0,10,23
1.2032742076263696,1.2362702406743744,0,10,24
1.2282776998509841,1.2327114984120666,0,10,25
1.236117737406377,1.2341267904987148,0,10,26
1.2528621291443836,1.2327629688252209,0,10,27
1.2399960730742068,1.2296936652831387,0,10,28
1.2123571855112623,1.2278224459512659,0,10,29
1.231312246607561,1.2247673235362089,0,10,30
1.211812034432624,1.2227521343405572,0,10,31
1.2010946867126573,1.223571531967104,0,10,32
1.1986602012218617,1.2262468146875438,0,10,33
1.2064205404325195,1.2207909684140974,0,10,34
1.2380072025506903,1.2276748171503198,0,10,35
1.2055792609082374,1.2240192123941565,0,10,36
1.1670285109266874,1.2273202738010767,0,10,37
1.20394608509352,1.2236415939995005,0,10,38
1.2594929452101669,1.223998280768656,0,10,39
1.2250337181694688,1.224793059245779,0,10,40
1.1880897689577985,1.2225419513451568,0,10,41
1.23353332291588,1.2266031284875507,0,10,42
1.2313766794590204,1.2260356667843213,0,10,43
1.1817441541406937,1.2306178487973543,0,10,44
1.3273624157036432,1.3026760453577975,1,10,1
1.2995070218187814,1.3035854544274887,1,10,2
1.27817613044068,1.2989954021336607,1,10,3
1.2987239393189263,1.2973189416572484,1,10,4
1.294083499158596,1.2981058934316028,1,10,5
1.2883140456258952,1.297283322535045,1,10,6
1.2945994349187233,1.2963900332624696,1,10,7
1.2797472301425894,1.2949758994741214,1,10,8
1.2760962165194465,1.2942430201047144,1,10,9
1.2675434743787153,1.2942117017622587,1,10,10
1.2677507884507524,1.294300030136722,1,10,11
1.2596867699721952,1.293249302672181,1,10,12
1.2563038731234852,1.2944762414059015,1,10,13
1.2632782883606613,1.2950677646322708,1,10,14
1.2477198090188584,1.2947174900765928,1,10,15
1.2317592560861519,1.3025934204959801,1,10,16
1.213354227285542,1.303463061295551,1,10,17
1.2069572908184714,1.3044077608737032,1,10,18
1.2453779086971215,1.3120201695723734,1,10,19
1.2440912220800153,1.305484423857233,1,10,20
1.233512858649166,1.306870294690899,1,10,21
1.2255027885518814,1.3062751420571856,1,10,22
1.3171876818884114,1.3216516946037302,2,10,1
1.2985566461580536,1.3138486341280746,2,10,2
1.2945027776947342,1.3110163385233071,2,10,3
1.295611868755799,1.3043328637986307,2,10,4
