Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_2Layer,Word2Vec,10,0.6588195476407215,0.030156108896370735,0.10363888480525314,0.02755110451501239,0.09219676218231523,0.009551011168526033
MLP_2Layer,Word2Vec,50,0.689852529447027,0.02893038518684632,0.1210569347148851,0.015935864976298817,0.09236430654263124,0.009362684659054097
MLP_2Layer,Word2Vec,100,0.6825969528767342,0.029938632025103353,0.12257224389140511,0.023746006983249277,0.09242206086024421,0.00954774920092043
MLP_2Layer,Word2Vec,1000,0.6636717675635966,0.05078780945850262,0.10753598407262974,0.019367011551351534,0.09267244485062734,0.009795774541508586
