Model,Feature_Type,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Combined,0.8095391707997042,0.043290057636785145,0.5553682721305055,0.08435999332416465,0.5599944505596702,0.03374356099505991
CatBoost,Full Codes,0.8012213802560447,0.03484804918294888,0.5485030732500829,0.07603328848388007,0.540721387720535,0.02060046626962196
CatBoost,Groups,0.7850368526159264,0.051170661781824105,0.5158664038822932,0.09602007992703712,0.5302781552754425,0.033331181992387035
RandomForest,Combined,0.7930276145951698,0.04184734692954748,0.5473932818322701,0.07484303737589144,0.5347848745823407,0.030663978137779612
RandomForest,Full Codes,0.790901071095923,0.03003496296991646,0.5344245739949465,0.05586240694510974,0.5225120539117207,0.02249781312521928
RandomForest,Groups,0.7725641348398635,0.04580666999239375,0.49992571165437294,0.0803191988426095,0.5204785496854208,0.022848364645544482
XGBoost,Combined,0.8108520219768038,0.045406247121305664,0.5577689225541287,0.09365824971922727,0.5623017793796838,0.034899506233616415
XGBoost,Full Codes,0.7890814778181642,0.03553569590111831,0.5411210823705042,0.08145168987996793,0.5267905506274894,0.014480725547358285
XGBoost,Groups,0.7814155108284754,0.05258334744324953,0.5211998821943691,0.09622871302561603,0.5238291342860882,0.023267035148700013
