train_loss,val_loss,Fold,Dimension,Epoch
1.1040680429209833,1.0876456158360668,0,10,1
1.079031006396434,1.0777475738090825,0,10,2
1.0761995011481686,1.0685679201459528,0,10,3
1.0805328211182146,1.065164766730409,0,10,4
1.0606967831250302,1.063098065993365,0,10,5
1.0591523883258827,1.0621836855081654,0,10,6
1.0576879821208693,1.0612539017407876,0,10,7
1.0606382081720893,1.059657395429224,0,10,8
1.0544914103442837,1.058420250508641,0,10,9
1.0683205669711096,1.058166405437599,0,10,10
1.0554179892530107,1.0572533655877734,0,10,11
1.0464931377466173,1.0542124741909025,0,10,12
1.0465501054720356,1.0531390074767055,0,10,13
1.0496452900193494,1.0500957919431306,0,10,14
1.0433876053393505,1.0478508442813144,0,10,15
1.046474346216174,1.0470103348397775,0,10,16
1.0445438645641256,1.0464621859339513,0,10,17
1.0509658181642647,1.0452115095244425,0,10,18
1.0463505636337629,1.0453248230405554,0,10,19
1.0389384291433645,1.0435784451706704,0,10,20
1.0413865960162618,1.0433888339561772,0,10,21
1.031589730778096,1.0421010579762622,0,10,22
1.0405365653659986,1.0426353144072855,0,10,23
1.0324417477562313,1.0406613991886697,0,10,24
1.0394390911789415,1.0413679709193522,0,10,25
1.0406442543487864,1.0419401559537367,0,10,26
1.0340915332422986,1.0411971595135225,0,10,27
1.0416130721445656,1.0432667226562247,0,10,28
1.0383788106851202,1.041766842041711,0,10,29
1.039606247580076,1.042565360578902,0,10,30
1.0274860658507416,1.0417025422101782,0,10,31
1.0256797901098278,1.0417864807598238,0,10,32
1.037464640204704,1.0418283331957157,0,10,33
1.0372149512881323,1.042190111759979,0,10,34
1.1904681648044761,1.1284076970979435,1,10,1
1.127443071408236,1.1037587381520935,1,10,2
1.1014421313728122,1.08868813301304,1,10,3
1.0864738778805951,1.0797799295132404,1,10,4
1.0767613616613028,1.0733623251033564,1,10,5
1.0747818069394481,1.0669985210567985,1,10,6
1.058908747594422,1.0608086934891667,1,10,7
1.0483746715231204,1.0548960059806767,1,10,8
1.0530299100153253,1.0535758317856865,1,10,9
1.0530601163192355,1.0498764746195073,1,10,10
1.0437846013052476,1.0468229732346674,1,10,11
1.0487529689525188,1.0451487382683131,1,10,12
1.0425372770882764,1.0436199850384937,1,10,13
1.039747920262625,1.0425942203682923,1,10,14
1.0314725046848676,1.0397891534754478,1,10,15
1.0433026527385727,1.0382405856467603,1,10,16
1.0476362028288702,1.0390637778024887,1,10,17
1.0282002233843521,1.0388397772941462,1,10,18
1.0292591552353223,1.0377066763215617,1,10,19
1.0382953067306278,1.036952170950487,1,10,20
1.0374059931225423,1.0380725286882386,1,10,21
1.0350743856755622,1.0387920218145321,1,10,22
1.0299076767984179,1.0375801267770803,1,10,23
1.0172455682047796,1.0371476192954776,1,10,24
1.040010412567164,1.0377531529068451,1,10,25
1.0371375635799818,1.038165998597824,1,10,26
1.0301051850521397,1.0353760859749894,1,10,27
1.0377270121260747,1.036662029237374,1,10,28
1.0304353731458729,1.0363272205677556,1,10,29
1.0316108422513608,1.0343650596326435,1,10,30
1.0308425484053003,1.0374415584349017,1,10,31
1.0314668144016441,1.0374137398900836,1,10,32
1.0325868385816792,1.0361314371761732,1,10,33
1.025301566429678,1.0360286015455769,1,10,34
1.0331025262557894,1.0355413584883861,1,10,35
1.0258707892984078,1.0354345466671737,1,10,36
1.0256208051352775,1.0354024837852815,1,10,37
1.024528780547308,1.031188738088028,1,10,38
1.03325546591804,1.0315205818608242,1,10,39
1.033239697338044,1.0331663976203989,1,10,40
1.0251789323296971,1.0359059904735353,1,10,41
1.0175304619299184,1.0330200022602956,1,10,42
1.0179137921551682,1.0324973750372513,1,10,43
1.0297417422317645,1.0295645482931208,1,10,44
1.0226571442781143,1.0296263969708839,1,10,45
1.0198605685905056,1.0288448331258775,1,10,46
1.0166865586241913,1.030170195853085,1,10,47
1.0186649158931989,1.0262527867320377,1,10,48
1.0206788648276603,1.0267437907877215,1,10,49
1.021748002026103,1.0265345700972284,1,10,50
1.1069826088761945,1.0754809792836506,2,10,1
1.0958838409207752,1.0671162112553914,2,10,2
1.0760231772744124,1.0652798970540365,2,10,3
1.071984876150491,1.062283821105957,2,10,4
1.0798215528469888,1.0616859531402587,2,10,5
1.0688367547317625,1.059821530977885,2,10,6
1.0659912559004041,1.058148763179779,2,10,7
1.0713017418800617,1.0567728185653686,2,10,8
1.0698479688549876,1.0560763120651244,2,10,9
1.0604488955890572,1.0541586271921795,2,10,10
1.0582837395149685,1.0531161371866862,2,10,11
1.0667933464447492,1.0516903003056843,2,10,12
1.0643257552611236,1.0504368464152019,2,10,13
1.0647544558968756,1.0502055478096008,2,10,14
1.060084275829946,1.0478448756535848,2,10,15
1.0576121438696502,1.0459009106953938,2,10,16
1.0569534158766245,1.0461696060498555,2,10,17
1.0607359972361572,1.0462138120333353,2,10,18
1.0581431065137958,1.0450481192270915,2,10,19
1.0559702177734884,1.0446588412920634,2,10,20
1.0522812720588326,1.0464696669578553,2,10,21
1.053289904389864,1.0428715658187866,2,10,22
1.0520911099562194,1.0410227799415588,2,10,23
1.0545287539391952,1.0393270635604859,2,10,24
1.0452609604371186,1.0382950568199159,2,10,25
1.0541041285631212,1.0359829711914061,2,10,26
1.0475387120435558,1.0359066438674926,2,10,27
1.046378025657085,1.0343248677253722,2,10,28
1.0515007025398149,1.0339200909932453,2,10,29
1.0555351873776755,1.0360964806874593,2,10,30
1.0498542404333684,1.0326406367619831,2,10,31
1.0549470725927388,1.0335492054621378,2,10,32
1.0498341056318494,1.036575969060262,2,10,33
1.0537973425379399,1.0323914988835652,2,10,34
1.043102548798637,1.031785821914673,2,10,35
1.0494098869873454,1.029671532313029,2,10,36
1.0490961396560128,1.0277417039871215,2,10,37
1.0484640637024003,1.0281247361501058,2,10,38
1.0386221137755813,1.0263077036539714,2,10,39
1.0427121603702416,1.025634122689565,2,10,40
1.0368828350481814,1.025895857810974,2,10,41
1.036548069545201,1.0252499461174012,2,10,42
1.0342681524109116,1.0265635498364767,2,10,43
1.0330258067177516,1.0235918164253235,2,10,44
1.0433650709896571,1.0225017921129862,2,10,45
1.0412121136850836,1.0230844974517823,2,10,46
1.0326493178641285,1.023091889222463,2,10,47
1.039832575526748,1.0229734071095784,2,10,48
1.0365861704427966,1.0227466630935669,2,10,49
1.0452928245191722,1.0213026014963786,2,10,50
1.1346114007885781,1.1002591740489494,3,10,1
1.1153961528431287,1.0836714124406195,3,10,2
1.0941683795001056,1.076492743009822,3,10,3
1.0768817375176858,1.0711869836146475,3,10,4
1.080248364847669,1.0688802327024067,3,10,5
1.0711639772957218,1.0666758819840951,3,10,6
1.0691171368060788,1.0652081752584959,3,10,7
1.0699184864490956,1.0640726414593784,3,10,8
1.0647710633024048,1.0628461887561134,3,10,9
1.0634867522093627,1.0618503250907816,3,10,10
1.0608934422773382,1.060135883449239,3,10,11
1.0608293805134092,1.0577967226456464,3,10,12
1.0546311527661474,1.0558591503085513,3,10,13
1.0605164839536025,1.055300122055238,3,10,14
1.0600288931606834,1.0531026061981257,3,10,15
1.051933242491676,1.0515080764096454,3,10,16
1.050132163326629,1.0476445092908873,3,10,17
1.0593933891215157,1.0467785421597187,3,10,18
1.0568116833985974,1.0462772360500208,3,10,19
1.0451519596684087,1.0431019079968344,3,10,20
1.0441189554262904,1.0418419021743912,3,10,21
1.0421714501533228,1.038951687887006,3,10,22
1.0396474803890194,1.0384954491860547,3,10,23
1.0525348258740974,1.0412788297386075,3,10,24
1.0435895435542577,1.0388600251696132,3,10,25
1.0488265300753856,1.0393152842260012,3,10,26
1.0412032520253574,1.036819604798285,3,10,27
1.0390162136006023,1.0361161548323947,3,10,28
1.0488562150435015,1.037129188931252,3,10,29
1.0415388149477047,1.0374040831121434,3,10,30
1.037176814848629,1.0389571772258268,3,10,31
1.0341463510761684,1.0363421405953135,3,10,32
1.0344811384058896,1.0353585375224246,3,10,33
1.0393866531971925,1.0346829753543,3,10,34
1.033218796969827,1.0354557803768687,3,10,35
1.0456737554239308,1.0359818188505618,3,10,36
1.0318459253834467,1.034661262324362,3,10,37
1.0393453804222312,1.0339516367119517,3,10,38
1.0328036190348506,1.0343927287547732,3,10,39
1.0384229125789108,1.0338251999320796,3,10,40
1.0526762938128447,1.0349404092795726,3,10,41
1.0385879076083697,1.0342233269845336,3,10,42
1.0411059303814811,1.0343255349400589,3,10,43
1.0393381774864854,1.034351319538385,3,10,44
1.0450165160457976,1.033335663811483,3,10,45
1.0448977027536903,1.0336074850092551,3,10,46
1.0267220293274675,1.0331689591392155,3,10,47
1.0370168896799299,1.0326736498132874,3,10,48
1.0256333847108383,1.0326626698176067,3,10,49
1.0382444333288143,1.031963244556502,3,10,50
1.1369685572836785,1.0944046207418614,4,10,1
1.113812550737814,1.0777146958680472,4,10,2
1.09597899470105,1.06979694811295,4,10,3
1.0826684206785113,1.062980344759852,4,10,4
1.082430819645981,1.0600490425690496,4,10,5
1.0776905785309026,1.0587603238132308,4,10,6
1.0816456285722416,1.0570750677449028,4,10,7
1.07401584555035,1.0577731475892511,4,10,8
1.0646811791480442,1.0568147320208885,4,10,9
1.0681761127308103,1.0549827140989163,4,10,10
1.0773841655083716,1.0557413114853655,4,10,11
1.0645742334471158,1.0551206166147211,4,10,12
1.0673896173270445,1.0516161926444345,4,10,13
1.0629287743129614,1.050327085239017,4,10,14
1.062581448857282,1.0520519716649905,4,10,15
1.0560838609629126,1.0488064747590284,4,10,16
1.0579242487870355,1.0471196262418931,4,10,17
1.0610475895107403,1.045233291611929,4,10,18
1.0590783772536825,1.0461302096246698,4,10,19
1.0610359301108767,1.0453663953197374,4,10,20
1.0539750245451196,1.0462418447344666,4,10,21
1.057667401085602,1.0444875465867562,4,10,22
1.0522797637190555,1.0448200770954064,4,10,23
1.0605874613506419,1.0455692185122525,4,10,24
1.0537205538135366,1.0442411692755118,4,10,25
1.0569215848645794,1.0448338126980146,4,10,26
1.0536877037313575,1.0425319507742474,4,10,27
1.0588837699656106,1.0431814213236108,4,10,28
1.0475312020393481,1.0414688864238133,4,10,29
1.0470352711121729,1.0402080185479696,4,10,30
1.0486574145670073,1.0391996831628578,4,10,31
1.0489616292629749,1.0352072118737303,4,10,32
1.0367551682673106,1.0376204710740309,4,10,33
1.0535014232487279,1.0355885237601696,4,10,34
1.0423365220457985,1.03347824833397,4,10,35
1.0509650739424068,1.0361549942075914,4,10,36
1.0423333407911055,1.0366096836065115,4,10,37
1.0481928897537824,1.034828204375047,4,10,38
1.0354091106016943,1.0306319320260406,4,10,39
1.050729578404339,1.0327444271643307,4,10,40
1.043876637027795,1.029430985060534,4,10,41
1.0308229621934013,1.0288777402106752,4,10,42
1.0398052254581256,1.0298407308013466,4,10,43
1.0356682338597585,1.0278006165780724,4,10,44
1.0437067144975096,1.027452792941841,4,10,45
1.0385703627073448,1.026676135835788,4,10,46
1.0452960968017577,1.0265497088237208,4,10,47
1.0394090437937855,1.0255648615707547,4,10,48
1.0440769117546471,1.0266783009184168,4,10,49
1.0459721602301413,1.0245509522246066,4,10,50
1.0633634484332541,1.0158006862460234,0,50,1
1.034632826937405,0.9972237887813122,0,50,2
1.0163793070222527,0.9787490122952339,0,50,3
0.9890695662725539,0.9607006701538162,0,50,4
0.9769999746950517,0.9510802495746249,0,50,5
0.9673977095641458,0.9451688071766864,0,50,6
0.9561947698178499,0.9410488605499268,0,50,7
0.9632910410563151,0.9376154964189443,0,50,8
0.9514911485754926,0.9384486123166405,0,50,9
0.9428509398276761,0.9383696018414944,0,50,10
0.9392932631214213,0.9380349143043272,0,50,11
0.9395797516248241,0.9379559144957953,0,50,12
0.9285357094205932,0.9329567453341733,0,50,13
0.931413577851795,0.9293772284413727,0,50,14
0.9347355718198029,0.9327348091430474,0,50,15
0.9401693371758945,0.9320247316518497,0,50,16
0.9272338180068117,0.9213141275025046,0,50,17
0.929960054196186,0.9216067967774361,0,50,18
0.9173449395853046,0.9223196936127759,0,50,19
0.9252149064595161,0.9178412647018179,0,50,20
0.8992120035933658,0.9168667916730108,0,50,21
0.9204480781318238,0.9245593799671656,0,50,22
0.9244139361332169,0.9250680653636082,0,50,23
0.9228130767064064,0.9240821768848384,0,50,24
0.9149324515838307,0.925471855671621,0,50,25
0.9120225144222409,0.923735878244351,0,50,26
0.9071239447741775,0.9151571230544665,0,50,27
0.8975544876193408,0.9162275582774178,0,50,28
0.9088082813081287,0.919143682980004,0,50,29
0.8949148821781387,0.9199641672361953,0,50,30
0.8916135823504525,0.9168976893974121,0,50,31
0.886577560393213,0.9132061253526336,0,50,32
