train_loss,val_loss,Fold,Epoch
1.3342105805140598,1.3167940431841652,0,1
1.2788454287081485,1.3020776638501808,0,2
1.2829030933614773,1.2989847515873434,0,3
1.2698213728115304,1.308492580965769,0,4
1.265254644517949,1.3078412490722666,0,5
1.2277087072496464,1.3161371545617255,0,6
1.2527563514106093,1.310429170245695,0,7
1.2374371205147205,1.300988566691027,0,8
1.2323983036570894,1.3080021091821996,0,9
1.257069570611776,1.3042830468565436,0,10
1.2275975802242232,1.310492333899738,0,11
1.2166106862636359,1.3095798686922184,0,12
1.2382196771658578,1.3107441232844914,0,13
1.3291923776535242,1.2689430900690297,1,1
1.2410063344806836,1.277778617563718,1,2
1.2265012814710616,1.25823451405001,1,3
1.2306978608813772,1.2760093584496945,1,4
1.2564819225504877,1.263692949140302,1,5
1.2272177376518767,1.2837973866316146,1,6
1.2377523125027485,1.2726405655340778,1,7
1.2160530315287374,1.252604041038197,1,8
1.2234087665222473,1.256607551673551,1,9
1.2139520304300173,1.27117293152833,1,10
1.2159658804205675,1.2643848005748801,1,11
1.2189437915292103,1.2562279314377889,1,12
1.2018201472164478,1.2650192422130604,1,13
1.2052186532392086,1.2612359413851832,1,14
1.22091196945005,1.25733693669403,1,15
1.2149590491566853,1.263538586786596,1,16
1.1925113274422265,1.2749892649180212,1,17
1.2115268230097391,1.2572963873857768,1,18
1.322385722285664,1.3328160112874239,2,1
1.2914010220150334,1.295771168263463,2,2
1.262471701674954,1.2909308904840842,2,3
1.2910751415153499,1.3010937412356458,2,4
1.260537595206051,1.3047826360500119,2,5
1.2420145317608424,1.3154488964895086,2,6
1.2402717110479038,1.332257117507999,2,7
1.2252543094873596,1.319926791851234,2,8
1.254827162956404,1.3232309219708178,2,9
1.250164677371295,1.3296826783821605,2,10
1.2403010135792714,1.3427064552411008,2,11
1.2519917900262378,1.3258473568203912,2,12
1.2281388157451145,1.3167321743130769,2,13
1.3699840354648503,1.2798214771530845,3,1
1.2914833507754586,1.300022304058075,3,2
1.278025088662451,1.2988517758521168,3,3
1.277977578341961,1.303680662404407,3,4
1.2604310295798562,1.3233369114724072,3,5
1.268672415478663,1.3193272121927955,3,6
1.2581113644621589,1.326516406102614,3,7
1.2456247847188602,1.3139655969359658,3,8
1.2625901069153438,1.3330117057670245,3,9
1.2356939864429561,1.339715464548631,3,10
1.2701646272431721,1.3200886263088747,3,11
1.3383868354663515,1.329236705554159,4,1
1.2730059693989,1.3224818745830602,4,2
1.2759290434184827,1.307956114861003,4,3
1.2864429788422167,1.2927283538433543,4,4
1.248925282662375,1.3098581716888829,4,5
1.24358856736568,1.2933169302605747,4,6
1.2609457611619381,1.3041122916288543,4,7
1.2419720318442897,1.323801362221701,4,8
1.2336096465796755,1.3522669434547425,4,9
1.2377061529326858,1.2939349440524452,4,10
1.2319711792259886,1.3082545313500522,4,11
1.2196181876199288,1.3085027864104823,4,12
1.2157779733758223,1.3295750445232057,4,13
1.2275754915203965,1.3117310643614384,4,14
