Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_2Layer,Word2Vec,10,0.7591107565595496,0.016925062642858136,0.4288026765952804,0.030748387967584466,0.3646425331096587,0.0148878220857464
MLP_2Layer,Word2Vec,50,0.7678892216526304,0.028332871074652318,0.44847748822849515,0.03480647201017094,0.3661206788585372,0.014539506634640686
MLP_2Layer,Word2Vec,100,0.777118997466469,0.023689014710825004,0.46565745311836276,0.026497883292354522,0.3658921246019353,0.012752488478742045
MLP_2Layer,Word2Vec,1000,0.7641976875927157,0.026931197984282923,0.44413541949522883,0.031093129044613498,0.3676158372803199,0.01373263353982172
