Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_1Layer,Node2Vec,10,0.6223189204817863,0.024449200027068962,0.08353392860156882,0.005928715462206706,0.0921423710192005,0.009502646408034887
MLP_1Layer,Node2Vec,50,0.6831544380353887,0.039054752484278234,0.11816708723416203,0.025433529130426052,0.09218205355888304,0.009419428487282827
MLP_1Layer,Node2Vec,100,0.69225144507226,0.040696793394400056,0.12881023909206268,0.04335446263975215,0.0921423710192005,0.009502646408034887
MLP_1Layer,Node2Vec,1000,0.719423565587651,0.025890832809188472,0.1562974758940327,0.05637124042343889,0.0921423710192005,0.009502646408034887
