Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_3Layer,ClinVec,0,128,0.0,13,0.6772578642377837,0.6702834179357022,0.3427832999336703,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,ClinVec,1,128,0.0,21,0.6831676003684736,0.660088488412874,0.33633230890874233,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,ClinVec,2,128,0.0,23,0.6766148313994534,0.670697938764316,0.3551841648812154,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,ClinVec,3,128,0.001,12,0.6636862331866361,0.7087855609638117,0.3908310971202072,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,ClinVec,4,128,0.0,4,0.6740914930984899,0.6480722198244856,0.3305389840493097,0.38817005545286504
