Experiment_Name,train_loss,val_loss,Fold,Dimension,Epoch,Model,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std,Feature_Type
kane_mc_aplasia_45_days_codes_mlp_1layer,1.077632939783039,1.0800070512399034,0.0,10.0,1.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0577774158290687,1.074516977930208,0.0,10.0,2.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0570933961738358,1.071600470529006,0.0,10.0,3.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.054791218578328,1.0723393894840607,0.0,10.0,4.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.041972798937348,1.072322888902603,0.0,10.0,5.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0360493809390785,1.070484107159317,0.0,10.0,6.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.036018051958214,1.0699904375104097,0.0,10.0,7.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0390556527743222,1.0699657889913887,0.0,10.0,8.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0346158713670777,1.0672627788243418,0.0,10.0,9.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0332227883611778,1.069593645740876,0.0,10.0,10.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0312268038861434,1.0672333591533472,0.0,10.0,11.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0298406389168888,1.0664858397519972,0.0,10.0,12.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0262874101747934,1.06416127076997,0.0,10.0,13.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0321227659646433,1.0632795098919214,0.0,10.0,14.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0305686510226382,1.0646443787538622,0.0,10.0,15.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.029596017556879,1.0626759407471638,0.0,10.0,16.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0235317487482805,1.0616330575664954,0.0,10.0,17.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0197345814198175,1.060199088327391,0.0,10.0,18.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.02610398638151,1.059677448981705,0.0,10.0,19.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0172412817744534,1.0589043746536744,0.0,10.0,20.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0219267207205458,1.0600211439605356,0.0,10.0,21.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0259863466268015,1.0569498538970947,0.0,10.0,22.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0159185160083406,1.0559961594228495,0.0,10.0,23.0,,,,,,,,
kane_mc_aplasia_45_days_codes_mlp_1layer,1.0215843821741255,1.0569887262044078,0.0,10.0,24.0,,,,,,,,
