Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,ClinVec,128,0.7033588402116312,0.0169748410735602,0.4073702408208476,0.02656122296498363,0.36420962970209053,0.013956319169812511
RandomForest,ClinVec,128,0.7042865529568261,0.022180669228479777,0.4150542079291057,0.034791349669129404,0.36420962970209053,0.013956319169812511
XGBoost,ClinVec,128,0.6809885951713386,0.024077553671980962,0.38328054948566215,0.037831894038727054,0.36420962970209053,0.013956319169812511
