Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,RandomForest,Groups,3,0.005,0.8605711120064464,0.8048228376213078,0.6074728260581261,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Groups,4,0.01,0.8567868796788712,0.7445943029779887,0.46944376240199115,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Groups,0,0.01,0.8698424345537,0.8402037507050197,0.5662933085096897,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Groups,1,0.01,0.867275618536184,0.81825815415329,0.5509712110725014,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Groups,2,0.0,0.8684299926337387,0.8282645043187481,0.6084291045683656,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Groups,3,0.01,0.8705177276390007,0.8043466759379629,0.5947808905549217,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Groups,4,0.01,0.8604804051216807,0.7529348295209323,0.45965871590538043,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Combined,0,0.0,0.8774936607731565,0.856979695431472,0.6371247373236405,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Combined,1,0.01,0.8775866546711484,0.8406061995845362,0.6016684213622012,0.3594306049822064
mimic_cohort_aplasia_45_days,XGBoost,Combined,2,0.0,0.8816914371474173,0.8441748118188968,0.6105149134577551,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Combined,3,0.0,0.8767678567739003,0.8120786347008495,0.5914362497580022,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Combined,4,0.005,0.8672893608451391,0.7801431448712415,0.48171412815212766,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Combined,0,0.005,0.8685645930700612,0.8579103214890016,0.6224976353116466,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Combined,1,0.01,0.8720405225986884,0.8474519114036745,0.607179828502829,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Combined,2,0.01,0.8706909681649374,0.8332110734418472,0.6025972516636229,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Combined,3,0.01,0.8679692503977355,0.8267489494210478,0.6288651328278546,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Combined,4,0.01,0.863647022828984,0.7541648683642641,0.47095921999333457,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Combined,0,0.005,0.87525818516812,0.867139029892837,0.624608693057403,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Combined,1,0.005,0.8803668243595771,0.8450609706747242,0.6056692045851166,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Combined,2,0.01,0.8748961163717451,0.8377214721412664,0.5945014671142669,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Combined,3,0.01,0.8744931455195356,0.8366727635517127,0.6314564338794092,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Combined,4,0.01,0.8689285520156423,0.7805387713997987,0.4805237120006305,0.3866790009250694
