Model,Feature_Type,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Combined,0.8334266015320677,0.03200778197889889,0.5873519021273652,0.061506463575091146,0.3639114187965314,0.013317670323252736
CatBoost,Full Codes,0.8266224200242138,0.03234193724249604,0.5842784080731238,0.06295547739357106,0.36420962970209053,0.013956319169812511
CatBoost,Groups,0.8088015829271906,0.033894204969410015,0.5560266461221717,0.05845008312044446,0.36420962970209053,0.013956319169812511
RandomForest,Combined,0.8238974248239671,0.04083257171392307,0.5864198136598575,0.06543517926330499,0.36420962970209053,0.013956319169812511
RandomForest,Full Codes,0.8169327244821796,0.042058942250483566,0.5705121740552054,0.07115781116540894,0.36420962970209053,0.013956319169812511
RandomForest,Groups,0.8077601239526832,0.03923005725795039,0.559922085226163,0.0560054805993051,0.36420962970209053,0.013956319169812511
XGBoost,Combined,0.8267964972813993,0.030809454370689233,0.5844916900107453,0.05990396493475987,0.3650939932292875,0.01335466643212433
XGBoost,Full Codes,0.8182922804420165,0.0282255830708414,0.5721937274635248,0.051869426471211046,0.36540844036982134,0.014788544804906947
XGBoost,Groups,0.8047278748089077,0.025697657847086636,0.5358210211071329,0.057435507495510366,0.36478998730547296,0.0169600117914408
