Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_3Layer,Kane,10,0.6159709552416917,0.026134985768749095,0.3252609488852277,0.04425176897394805,0.36420962970209053,0.013956319169812511
MLP_3Layer,Kane,50,0.7126129464850609,0.02378947401603267,0.39543583517169323,0.023348317202981465,0.36420962970209053,0.013956319169812511
MLP_3Layer,Kane,100,0.7102960217621894,0.031867731838510355,0.4049542400980382,0.033722044767428995,0.36420962970209053,0.013956319169812511
MLP_3Layer,Kane,1000,0.7230185836573544,0.04012141169097869,0.42370163262581906,0.06231428946379873,0.36475053218319103,0.014133492985560695
