Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,ClinVec,128,0.659361904415553,0.0239324256899058,0.3360322410565328,0.022057963605894158,0.36420962970209053,0.013956319169812511
RandomForest,ClinVec,128,0.6660769335648457,0.02769588094061834,0.3435383320529014,0.029832186760663165,0.36420962970209053,0.013956319169812511
XGBoost,ClinVec,128,0.6490343308284732,0.021037154436953937,0.3224428818703418,0.024022951348169473,0.36420962970209053,0.013956319169812511
