Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
MLP_3Layer,Node2Vec,10,0.6519063498078812,0.028883624374878757,0.32040441874180453,0.016155261383994316,0.36420962970209053,0.013956319169812511
MLP_3Layer,Node2Vec,50,0.7115607685870371,0.02683236869059642,0.39961614110162974,0.0558441466156973,0.36472757147596846,0.013633302718944229
MLP_3Layer,Node2Vec,100,0.7372538747906543,0.04694884129402008,0.42929100260952646,0.060560064729363004,0.365101591611568,0.013971578882490468
MLP_3Layer,Node2Vec,1000,0.7546684296099686,0.03335007665453233,0.4723137110315113,0.0690540412194819,0.36420962970209053,0.013956319169812511
