train_loss,val_loss,Fold,Dimension,Epoch
1.3652362988896347,1.2734039985733197,0,10,1
1.3343005847702756,1.2632026673654824,0,10,2
1.307304921332729,1.2587592240144476,0,10,3
1.2917283094670784,1.257171386887167,0,10,4
1.3070072648627906,1.2518484997981807,0,10,5
1.2933831893656242,1.2565080960677737,0,10,6
1.2979799332230855,1.2543927769490466,0,10,7
1.2814183115388789,1.2541409787739086,0,10,8
1.2823631906053097,1.2510563095109306,0,10,9
1.283751233342732,1.2493890789968092,0,10,10
1.2680977679896013,1.2544595991157375,0,10,11
1.2782878020163357,1.2575935226091197,0,10,12
1.2755840583281084,1.2526270264793966,0,10,13
1.256940342592851,1.2526451344092255,0,10,14
1.27499815949983,1.2417680355735357,0,10,15
1.2489928280907956,1.2457139941491389,0,10,16
1.246870829157852,1.241992246678436,0,10,17
1.25363495931671,1.2448085607195984,0,10,18
1.2536404891447588,1.252065653790632,0,10,19
1.2642015207327153,1.2523174247142423,0,10,20
1.272383805097005,1.2436603444627408,0,10,21
1.2601676586141997,1.2374393197335505,0,10,22
1.2438401154924237,1.2415509623024343,0,10,23
1.246942724337418,1.2325448474543066,0,10,24
1.2433031363920732,1.2376831137087854,0,10,25
1.24489760170713,1.2493836426399123,0,10,26
1.256341675251865,1.2450729729940677,0,10,27
1.2315672071356523,1.237104812138517,0,10,28
1.2233348360472318,1.2536739324051018,0,10,29
1.212782120590575,1.25430881253818,0,10,30
1.2371974595996182,1.2705001877550186,0,10,31
1.2149891334287288,1.2585440183124976,0,10,32
1.2233844014446131,1.2450042206184577,0,10,33
1.2455671911604667,1.2393199750429114,0,10,34
1.4013747325288415,1.2941042690523643,1,10,1
1.319932879478149,1.2838601396450846,1,10,2
1.2806953725455694,1.2739953152861634,1,10,3
1.2870070063561931,1.266506250120358,1,10,4
1.3014888233291981,1.2605040551072422,1,10,5
1.268272838261907,1.2559286809836094,1,10,6
1.271126165692135,1.2485118315726973,1,10,7
1.279821779509896,1.251046848493233,1,10,8
1.2587820852294485,1.241938713714743,1,10,9
1.2441347593044136,1.2392741724691156,1,10,10
1.2522961564642614,1.2375049944069634,1,10,11
1.2484877792148625,1.2358242658554597,1,10,12
1.2493623378956595,1.234215280143971,1,10,13
1.248263735295197,1.2339293250746228,1,10,14
